x y z alpha beta gamma
-0.094741 0.881948 0.642007 1.589619 0.006534 -0.008724
-0.094750 0.881946 0.641986 1.589596 0.006533 -0.008715
-0.094758 0.881943 0.641967 1.589574 0.006533 -0.008705
-0.094766 0.881941 0.641947 1.589551 0.006531 -0.008696
-0.094775 0.881939 0.641927 1.589529 0.006530 -0.008687
-0.094783 0.881936 0.641907 1.589506 0.006530 -0.008677
-0.094792 0.881934 0.641887 1.589484 0.006529 -0.008668
-0.094800 0.881931 0.641867 1.589461 0.006528 -0.008658
-0.094808 0.881929 0.641847 1.589439 0.006527 -0.008649
-0.094817 0.881926 0.641827 1.589416 0.006527 -0.008640
-0.094825 0.881924 0.641807 1.589394 0.006525 -0.008631
-0.094833 0.881921 0.641787 1.589371 0.006524 -0.008621
-0.094841 0.881919 0.641767 1.589349 0.006523 -0.008612
-0.094850 0.881917 0.641747 1.589326 0.006521 -0.008602
-0.094858 0.881914 0.641727 1.589304 0.006521 -0.008593
-0.094867 0.881912 0.641707 1.589281 0.006520 -0.008584
-0.094875 0.881909 0.641687 1.589259 0.006520 -0.008574
-0.094883 0.881907 0.641667 1.589236 0.006519 -0.008565
-0.094891 0.881904 0.641647 1.589214 0.006517 -0.008555
-0.094900 0.881902 0.641627 1.589191 0.006516 -0.008546
-0.085909 0.888452 0.632375 1.579536 0.001695 -0.020726
-0.085976 0.888463 0.632342 1.579530 0.001842 -0.020658
-0.086060 0.888483 0.632320 1.579509 0.001885 -0.020578
-0.086140 0.888504 0.632299 1.579489 0.001908 -0.020496
-0.086208 0.888522 0.632273 1.579462 0.001920 -0.020423
-0.086251 0.888530 0.632248 1.579436 0.001927 -0.020376
-0.086277 0.888532 0.632225 1.579411 0.001927 -0.020349
-0.086295 0.888531 0.632201 1.579384 0.001925 -0.020329
-0.086310 0.888530 0.632176 1.579356 0.001924 -0.020313
-0.086323 0.888528 0.632151 1.579328 0.001922 -0.020298
-0.086347 0.888524 0.632099 1.579269 0.001919 -0.020272
-0.086357 0.888522 0.632072 1.579240 0.001917 -0.020260
-0.086367 0.888519 0.632046 1.579210 0.001916 -0.020249
-0.086377 0.888516 0.632019 1.579181 0.001915 -0.020238
-0.086387 0.888513 0.631993 1.579151 0.001913 -0.020227
-0.086397 0.888511 0.631967 1.579122 0.001911 -0.020216
-0.103222 0.880019 0.630059 1.577938 -0.002003 0.001298
-0.103231 0.880016 0.630033 1.577909 -0.002005 0.001308
-0.103241 0.880013 0.630006 1.577879 -0.002006 0.001319
-0.103250 0.880010 0.629980 1.577849 -0.002007 0.001330
-0.103259 0.880007 0.629953 1.577819 -0.002008 0.001341
-0.103269 0.880004 0.629927 1.577789 -0.002009 0.001352
-0.103278 0.880000 0.629901 1.577760 -0.002010 0.001363
-0.103287 0.879997 0.629875 1.577730 -0.002011 0.001373
-0.103297 0.879994 0.629848 1.577700 -0.002012 0.001384
-0.094692 0.883374 0.642978 1.591775 0.003482 -0.009431
-0.100770 0.879831 0.616162 1.562036 -0.004535 -0.001547
-0.102757 0.881740 0.620759 1.566638 -0.001505 -0.000047
-0.105807 0.879652 0.623780 1.567499 0.005559 0.004435
-0.102420 0.881347 0.625932 1.571823 -0.000107 -0.000556
-0.092534 0.885111 0.622882 1.567254 0.002373 -0.012093
-0.094429 0.887374 0.623815 1.569646 -0.002062 -0.011156
