x y z alpha beta gamma
-0.103445 0.881716 0.622181 1.569023 0.002752 0.005789
-0.103448 0.881717 0.622181 1.569023 0.002752 0.005792
-0.103451 0.881718 0.622181 1.569024 0.002752 0.005796
-0.103455 0.881719 0.622181 1.569024 0.002752 0.005799
-0.103458 0.881720 0.622181 1.569024 0.002752 0.005803
-0.103461 0.881721 0.622182 1.569025 0.002752 0.005806
-0.103464 0.881722 0.622182 1.569025 0.002751 0.005810
-0.103467 0.881723 0.622182 1.569025 0.002751 0.005813
-0.103471 0.881724 0.622182 1.569025 0.002751 0.005817
-0.103474 0.881725 0.622182 1.569025 0.002751 0.005820
-0.103477 0.881726 0.622183 1.569026 0.002751 0.005824
-0.103480 0.881727 0.622183 1.569026 0.002752 0.005827
-0.103483 0.881728 0.622183 1.569026 0.002751 0.005830
-0.103486 0.881729 0.622183 1.569026 0.002751 0.005834
-0.103489 0.881730 0.622183 1.569026 0.002751 0.005837
-0.103493 0.881731 0.622184 1.569027 0.002751 0.005841
-0.103496 0.881732 0.622184 1.569027 0.002751 0.005844
-0.103499 0.881733 0.622184 1.569027 0.002751 0.005848
-0.103502 0.881733 0.622184 1.569027 0.002751 0.005851
-0.103505 0.881734 0.622185 1.569028 0.002751 0.005855
-0.103543 0.881741 0.622203 1.569038 0.002719 0.005886
-0.103600 0.881753 0.622222 1.569054 0.002704 0.005945
-0.103677 0.881775 0.622233 1.569054 0.002670 0.006019
-0.103761 0.881800 0.622242 1.569059 0.002655 0.006107
-0.103829 0.881821 0.622245 1.569060 0.002649 0.006180
-0.103868 0.881832 0.622247 1.569063 0.002648 0.006222
-0.103888 0.881838 0.622251 1.569066 0.002646 0.006244
-0.103901 0.881842 0.622253 1.569067 0.002643 0.006258
-0.103911 0.881844 0.622254 1.569068 0.002642 0.006268
-0.103919 0.881847 0.622255 1.569069 0.002642 0.006277
-0.103932 0.881851 0.622256 1.569070 0.002642 0.006291
-0.103937 0.881852 0.622256 1.569070 0.002642 0.006297
-0.103942 0.881854 0.622257 1.569071 0.002641 0.006302
-0.103947 0.881855 0.622257 1.569071 0.002641 0.006307
-0.103952 0.881857 0.622257 1.569072 0.002641 0.006312
-0.103956 0.881858 0.622258 1.569072 0.002641 0.006317
-0.103960 0.881859 0.622258 1.569072 0.002641 0.006322
-0.103964 0.881860 0.622258 1.569072 0.002641 0.006326
-0.103969 0.881862 0.622259 1.569073 0.002641 0.006331
-0.103973 0.881863 0.622259 1.569073 0.002640 0.006336
-0.103977 0.881864 0.622259 1.569073 0.002640 0.006340
-0.103981 0.881866 0.622259 1.569074 0.002640 0.006345
-0.103986 0.881867 0.622260 1.569074 0.002640 0.006350
-0.103990 0.881868 0.622260 1.569074 0.002640 0.006354
-0.103994 0.881869 0.622261 1.569075 0.002640 0.006359
-0.094388 0.880919 0.631358 1.579336 -0.001312 -0.005097
-0.107394 0.889507 0.630593 1.579362 0.000499 0.012920
-0.107516 0.888052 0.625092 1.571878 -0.000892 0.012628
-0.101655 0.884148 0.621949 1.568511 0.001960 0.004567
-0.093246 0.878500 0.624232 1.570793 0.000559 -0.007595
-0.100078 0.879267 0.618445 1.563153 0.000104 0.001041
-0.099716 0.879107 0.618575 1.563242 -0.000055 0.000592
-0.099802 0.879181 0.618435 1.563094 -0.000034 0.000687
-0.099736 0.879167 0.618410 1.563084 0.000017 0.000630
-0.090775 0.877837 0.630028 1.578250 0.000328 -0.010824
-0.090639 0.877782 0.630045 1.578280 0.000358 -0.010962
-0.090540 0.877660 0.630305 1.578693 0.000705 -0.010954
-0.090491 0.877645 0.630276 1.578616 0.000577 -0.011041
-0.099517 0.879112 0.618334 1.563085 0.000262 0.000468
-0.099605 0.879143 0.618340 1.563049 0.000137 0.000522
-0.099554 0.879108 0.618398 1.563074 0.000022 0.000430
-0.099472 0.879076 0.618416 1.563069 -0.000052 0.000316
-0.099428 0.879054 0.618440 1.563084 -0.000088 0.000256
-0.099437 0.879058 0.618437 1.563074 -0.000107 0.000259
-0.099454 0.879063 0.618440 1.563076 -0.000112 0.000276
-0.099472 0.879068 0.618442 1.563076 -0.000117 0.000294
-0.099492 0.879074 0.618444 1.563078 -0.000120 0.000317
-0.099514 0.879081 0.618447 1.563081 -0.000121 0.000341
-0.099535 0.879087 0.618449 1.563083 -0.000120 0.000364
-0.099555 0.879093 0.618450 1.563084 -0.000119 0.000386
-0.099572 0.879099 0.618450 1.563085 -0.000117 0.000405
-0.099585 0.879103 0.618450 1.563086 -0.000117 0.000420
-0.099595 0.879106 0.618451 1.563087 -0.000116 0.000431
-0.099602 0.879108 0.618452 1.563088 -0.000116 0.000439
-0.089972 0.877255 0.622283 1.567723 -0.002041 -0.011463
-0.095546 0.880061 0.622568 1.567798 -0.002088 -0.003966
-0.100243 0.883440 0.613573 1.557776 0.001466 0.003084
-0.104921 0.883750 0.635120 1.584285 -0.001291 0.008016
-0.104415 0.882165 0.618384 1.564610 0.004616 0.006886
-0.097912 0.881031 0.627251 1.573824 -0.003279 -0.001036
-0.098123 0.881092 0.628564 1.575014 -0.003714 -0.000614
-0.096726 0.878573 0.612784 1.556664 0.002088 -0.003032
-0.101912 0.883853 0.620708 1.566026 -0.001278 0.005103
-0.102232 0.883766 0.622043 1.567281 -0.001838 0.005516
-0.097605 0.878169 0.616269 1.560853 0.000345 -0.001915
-0.098043 0.877952 0.617630 1.562176 -0.000290 -0.001457
-0.098515 0.877680 0.618986 1.563499 -0.000973 -0.001002
-0.092878 0.876466 0.626548 1.573139 -0.000844 -0.007974
-0.105544 0.886719 0.623804 1.570633 -0.000537 0.010537
-0.106126 0.886291 0.625072 1.571874 -0.001324 0.010997
-0.106778 0.885824 0.626317 1.573096 -0.002158 0.011496
-0.101091 0.884088 0.615042 1.558995 -0.000899 0.004731
-0.096114 0.882851 0.622985 1.569125 -0.000976 -0.001511
-0.092056 0.876165 0.618761 1.563770 0.000726 -0.008945
-0.092987 0.875454 0.620156 1.565237 -0.000279 -0.008305
-0.099231 0.880238 0.625006 1.573209 0.004411 0.000556
-0.100395 0.884413 0.628750 1.576327 -0.000639 0.003849
-0.101544 0.883550 0.630050 1.577817 -0.001429 0.004723
-0.104719 0.884670 0.621792 1.568564 0.001721 0.008654
-0.095488 0.881713 0.626380 1.573620 0.000163 -0.002644
-0.098733 0.882624 0.618336 1.564628 0.002960 0.001101
-0.098889 0.880539 0.616185 1.561895 0.002327 0.000707
-0.100525 0.880383 0.621595 1.567312 0.000426 0.002638
-0.105018 0.886991 0.633471 1.581825 -0.002227 0.010162
-0.099812 0.884180 0.623449 1.569918 -0.000939 0.003435
-0.100738 0.882896 0.624676 1.570641 -0.001515 0.003874
-0.100983 0.885874 0.621708 1.568217 0.000404 0.005215
-0.110290 0.890275 0.627556 1.575512 0.000224 0.017002
-0.100558 0.885668 0.622808 1.568944 -0.001065 0.005243
-0.100669 0.885676 0.622892 1.568964 -0.001283 0.005297
-0.100769 0.885695 0.622937 1.568984 -0.001370 0.005380
-0.100832 0.885709 0.622955 1.568991 -0.001412 0.005436
-0.100858 0.885714 0.622965 1.568995 -0.001431 0.005458
-0.100870 0.885717 0.622969 1.568997 -0.001440 0.005469
-0.100878 0.885719 0.622970 1.568996 -0.001445 0.005476
-0.100884 0.885721 0.622970 1.568995 -0.001447 0.005482
-0.100890 0.885724 0.622969 1.568994 -0.001448 0.005489
-0.100896 0.885726 0.622968 1.568993 -0.001448 0.005495
-0.100902 0.885728 0.622967 1.568992 -0.001449 0.005501
-0.100908 0.885730 0.622966 1.568990 -0.001449 0.005507
-0.100913 0.885733 0.622965 1.568989 -0.001449 0.005513
-0.100919 0.885735 0.622964 1.568988 -0.001450 0.005519
-0.100924 0.885737 0.622963 1.568987 -0.001450 0.005525
-0.100930 0.885739 0.622962 1.568985 -0.001450 0.005532
-0.100936 0.885741 0.622961 1.568984 -0.001451 0.005538
-0.100941 0.885744 0.622960 1.568983 -0.001451 0.005544
-0.106111 0.885570 0.618626 1.564391 0.000911 0.011019
-0.109453 0.889722 0.620042 1.566671 0.001950 0.016327
-0.106425 0.886036 0.630274 1.578274 -0.000027 0.010885
-0.104447 0.888226 0.628242 1.576090 -0.000405 0.010008
-0.096323 0.879172 0.621074 1.565644 -0.002622 -0.002679
-0.093310 0.878192 0.626247 1.573966 0.001392 -0.006992
-0.102706 0.886808 0.623580 1.569520 -0.002353 0.007540
-0.095500 0.883026 0.630198 1.579195 0.001589 -0.002591
-0.097400 0.882001 0.626959 1.573724 -0.002406 -0.000781
-0.105540 0.886883 0.633062 1.581918 -0.001569 0.009966
-0.098803 0.881933 0.624442 1.571633 0.001467 0.000901
-0.107709 0.885984 0.633703 1.582481 -0.001208 0.012188
-0.098816 0.882288 0.623424 1.570284 0.000905 0.000493
-0.106925 0.881930 0.630234 1.577715 -0.001822 0.010065
-0.091352 0.877518 0.632937 1.580753 -0.003132 -0.009398
-0.099342 0.882836 0.623158 1.569586 -0.000255 0.001603
-0.101717 0.885506 0.638650 1.589550 0.000402 0.005050
-0.099750 0.882969 0.624006 1.569837 -0.002297 0.002334
-0.092625 0.877719 0.632164 1.581349 0.001174 -0.008254
-0.090514 0.874913 0.618319 1.562443 -0.001781 -0.011222
-0.092957 0.877795 0.633056 1.581622 -0.000958 -0.007650
-0.101184 0.883119 0.623369 1.570475 0.001666 0.003464
-0.101034 0.883178 0.623865 1.570612 0.000442 0.003843
-0.101537 0.883181 0.624373 1.570763 -0.000786 0.004004
-0.091743 0.875033 0.618417 1.563388 0.000601 -0.009895
-0.094410 0.877909 0.633293 1.582550 0.000940 -0.006180
-0.092273 0.875111 0.619593 1.563753 -0.002219 -0.009261
-0.102325 0.883231 0.624010 1.571456 0.002378 0.005081
-0.099277 0.879776 0.610175 1.552581 -0.000543 0.000909
-0.102265 0.883170 0.624974 1.571767 0.000128 0.005231
-0.096019 0.882074 0.631762 1.580299 -0.000172 -0.002704
-0.092718 0.874947 0.619531 1.564653 0.000495 -0.008720
-0.086835 0.873955 0.626254 1.573170 0.000245 -0.016217
-0.095407 0.877717 0.634571 1.583742 0.000112 -0.005206
-0.093691 0.878846 0.616984 1.562185 0.001860 -0.006137
-0.102693 0.882846 0.625203 1.572628 0.001776 0.005405
-0.092466 0.883898 0.635253 1.584259 -0.003097 -0.005802
-0.107746 0.888386 0.632768 1.580898 -0.003387 0.013559
-0.091854 0.879093 0.632925 1.581853 -0.000950 -0.008532
-0.097926 0.880109 0.627209 1.573609 -0.003270 -0.000702
-0.087068 0.873595 0.627140 1.573973 -0.000534 -0.016117
-0.093090 0.874579 0.620727 1.565595 -0.000896 -0.008674
-0.097678 0.880044 0.627177 1.573579 -0.003251 -0.000977
-0.097610 0.879970 0.627324 1.573725 -0.003301 -0.001062
-0.097800 0.880073 0.627199 1.573598 -0.003271 -0.000846
-0.097862 0.880104 0.627166 1.573596 -0.003166 -0.000743
-0.097838 0.880091 0.627180 1.573618 -0.003150 -0.000762
-0.097784 0.880078 0.627166 1.573607 -0.003135 -0.000818
-0.097735 0.880065 0.627155 1.573604 -0.003104 -0.000862
-0.097742 0.880068 0.627152 1.573610 -0.003078 -0.000846
-0.097760 0.880082 0.627129 1.573596 -0.003045 -0.000816
-0.097789 0.880096 0.627117 1.573593 -0.003013 -0.000773
-0.097825 0.880111 0.627106 1.573591 -0.002983 -0.000723
-0.097854 0.880125 0.627093 1.573587 -0.002951 -0.000680
-0.097870 0.880135 0.627078 1.573582 -0.002918 -0.000652
-0.097876 0.880141 0.627065 1.573578 -0.002887 -0.000635
-0.097876 0.880146 0.627052 1.573574 -0.002857 -0.000625
-0.097875 0.880149 0.627039 1.573569 -0.002827 -0.000617
-0.097872 0.880153 0.627026 1.573565 -0.002796 -0.000610
-0.097869 0.880156 0.627013 1.573560 -0.002766 -0.000604
-0.097865 0.880159 0.626999 1.573556 -0.002735 -0.000598
-0.091906 0.879526 0.637943 1.587645 -0.002605 -0.008192
-0.091902 0.879530 0.637929 1.587640 -0.002575 -0.008186
-0.091898 0.879533 0.637916 1.587636 -0.002544 -0.008180
-0.091893 0.879536 0.637902 1.587631 -0.002513 -0.008175
