x y z alpha beta gamma
-0.035186 0.909550 0.679077 1.575913 0.003392 0.012856
-0.017976 0.904036 0.693930 1.594870 0.000723 -0.009027
-0.031917 0.906939 0.674941 1.571100 0.004066 0.008416
-0.045998 0.905698 0.687314 1.586415 0.002428 0.026474
-0.012122 0.905494 0.668153 1.562069 0.001036 -0.016852
-0.011149 0.904705 0.676538 1.572733 -0.000887 -0.018228
-0.025352 0.905708 0.686697 1.585920 0.001593 0.000326
-0.024085 0.906178 0.675031 1.571082 0.000440 -0.001677
-0.038602 0.906471 0.687509 1.587170 0.003106 0.017027
-0.017149 0.906992 0.675436 1.571779 0.002179 -0.009848
-0.026485 0.905843 0.690037 1.590466 0.000595 0.001477
-0.019960 0.903359 0.692182 1.593159 -0.000322 -0.006874
-0.020561 0.905750 0.691719 1.592571 0.002365 -0.005664
-0.021104 0.907708 0.672484 1.567817 -0.001876 -0.005369
-0.011103 0.906840 0.669753 1.564631 -0.002162 -0.017866
-0.031104 0.908922 0.667043 1.561067 0.000598 0.007719
-0.037522 0.906455 0.675930 1.572476 0.000756 0.015539
-0.025326 0.906692 0.691537 1.592457 0.000788 0.000227
-0.015558 0.905442 0.688749 1.589121 0.000642 -0.012106
-0.014557 0.905834 0.672027 1.567432 -0.003403 -0.013796
-0.033761 0.907083 0.669015 1.563623 0.000339 0.010725
-0.015442 0.907076 0.674786 1.571117 -0.005309 -0.012059
-0.015746 0.907618 0.676511 1.573223 -0.001957 -0.011801
-0.020534 0.904498 0.650614 1.540702 -0.000880 -0.005737
-0.011895 0.906747 0.661692 1.554807 -0.002858 -0.016348
-0.001598 0.903692 0.663684 1.557121 -0.003401 -0.029758
-0.013138 0.906776 0.667355 1.561831 -0.004263 -0.014680
-0.031945 0.908438 0.669120 1.564586 0.002272 0.008401
-0.043619 0.910630 0.676480 1.573841 0.001527 0.023309
-0.027157 0.905530 0.655892 1.547814 0.001642 0.001969
-0.017178 0.905372 0.681563 1.579853 0.001424 -0.010249
-0.018340 0.905342 0.683881 1.583076 0.000166 -0.008422
-0.030122 0.904911 0.662006 1.555480 0.001263 0.006355
-0.000279 0.904064 0.692749 1.593996 -0.003837 -0.031213
-0.028121 0.908916 0.693122 1.595012 0.002500 0.003802
-0.047384 0.909222 0.687104 1.587449 0.003216 0.028183
-0.028369 0.909064 0.692982 1.594814 0.002313 0.004106
-0.028342 0.909045 0.692981 1.594786 0.002226 0.004078
-0.028290 0.909027 0.692951 1.594733 0.002158 0.004025
-0.028248 0.909011 0.692927 1.594693 0.002105 0.003989
-0.028261 0.909018 0.692896 1.594644 0.002048 0.004010
-0.028284 0.909032 0.692859 1.594592 0.002001 0.004044
-0.028312 0.909046 0.692830 1.594546 0.001950 0.004082
-0.028338 0.909059 0.692797 1.594497 0.001898 0.004118
-0.028359 0.909071 0.692762 1.594445 0.001848 0.004150
-0.028371 0.909079 0.692727 1.594394 0.001797 0.004172
-0.028375 0.909083 0.692692 1.594343 0.001746 0.004185
-0.028376 0.909086 0.692658 1.594292 0.001692 0.004193
-0.026466 0.907315 0.685907 1.585449 0.000151 0.001874
-0.013232 0.903738 0.664476 1.558284 0.000912 -0.015036
-0.016149 0.904329 0.664448 1.558353 -0.002011 -0.011523
-0.019089 0.902849 0.675252 1.571808 -0.003313 -0.007671
-0.052519 0.909605 0.660685 1.554416 0.006987 0.034183
-0.034181 0.909603 0.670299 1.566445 0.001709 0.011551
-0.036377 0.908002 0.680543 1.578656 -0.001812 0.014531
-0.019155 0.906367 0.676531 1.573782 0.000125 -0.007314
-0.023220 0.906575 0.678153 1.575656 -0.000626 -0.002130
-0.016236 0.902611 0.661961 1.555125 -0.001336 -0.011087
-0.029367 0.907227 0.670760 1.566921 0.003401 0.005229
-0.027177 0.908256 0.691967 1.593445 0.001306 0.002871
-0.032729 0.907230 0.671390 1.567844 0.002775 0.010056
-0.023689 0.905794 0.644453 1.533653 -0.000607 -0.001017
-0.027891 0.908103 0.693081 1.594681 -0.001071 0.004076
-0.028098 0.908216 0.692989 1.594549 -0.001163 0.004288
-0.028142 0.908229 0.692985 1.594535 -0.001201 0.004353
-0.028120 0.908216 0.692985 1.594505 -0.001284 0.004330
-0.028079 0.908204 0.692964 1.594461 -0.001345 0.004294
-0.028039 0.908192 0.692943 1.594422 -0.001397 0.004263
-0.028032 0.908192 0.692925 1.594384 -0.001453 0.004265
-0.028030 0.908198 0.692898 1.594339 -0.001504 0.004275
-0.028033 0.908204 0.692876 1.594298 -0.001555 0.004289
-0.028034 0.908209 0.692853 1.594257 -0.001608 0.004303
-0.028036 0.908215 0.692830 1.594216 -0.001661 0.004316
-0.028038 0.908220 0.692808 1.594174 -0.001714 0.004330
-0.028040 0.908225 0.692786 1.594133 -0.001766 0.004343
-0.016329 0.905226 0.670594 1.566284 -0.001671 -0.010850
-0.019848 0.902303 0.672346 1.567941 -0.001854 -0.006861
-0.019631 0.902322 0.656111 1.547232 -0.000615 -0.006956
-0.019667 0.903153 0.655216 1.545966 -0.002421 -0.006890
-0.007250 0.905324 0.669980 1.565577 -0.002364 -0.022818
-0.027889 0.906339 0.659798 1.551958 0.002192 0.003810
-0.006096 0.901485 0.686088 1.586355 -0.000964 -0.025348
-0.010278 0.905377 0.678456 1.576475 -0.000588 -0.019726
-0.023785 0.907638 0.674752 1.571448 0.001565 -0.001369
-0.023107 0.906629 0.671958 1.567761 -0.001039 -0.002784
-0.022801 0.905137 0.661243 1.552411 -0.003888 -0.003172
-0.020949 0.904965 0.685439 1.585808 0.000844 -0.005996
-0.038892 0.908871 0.681224 1.580109 0.001953 0.018765
-0.023131 0.904435 0.676115 1.572954 0.002157 -0.003162
-0.024947 0.906902 0.666192 1.559034 -0.002705 0.000013
-0.013231 0.901953 0.667468 1.560496 -0.002929 -0.017086
-0.023369 0.906742 0.676956 1.574646 0.003131 -0.002441
-0.021584 0.903844 0.661215 1.551581 -0.002807 -0.005006
-0.024276 0.905665 0.676639 1.574059 0.003005 -0.001283
-0.021481 0.905426 0.672951 1.568543 -0.000887 -0.005146
-0.021164 0.903557 0.672042 1.566920 0.000002 -0.005530
-0.024929 0.907362 0.677037 1.574795 0.002859 0.000188
-0.020239 0.904426 0.671164 1.565704 0.000683 -0.007046
-0.024353 0.904954 0.675080 1.571489 0.000169 -0.000908
-0.030168 0.905487 0.669883 1.563909 0.001013 0.007698
