x y z alpha beta gamma
-0.020702 0.904977 0.674607 1.569674 -0.002661 -0.002571
-0.020466 0.906112 0.685832 1.584115 -0.001660 -0.002592
-0.023164 0.908535 0.670197 1.565913 0.001537 0.001325
-0.016699 0.901769 0.676899 1.573989 0.000999 -0.008473
-0.017629 0.902448 0.676131 1.573217 0.001160 -0.007436
-0.024761 0.905201 0.667659 1.562346 0.000344 0.001359
-0.017821 0.902659 0.676743 1.573335 -0.000175 -0.006782
-0.018551 0.902760 0.677283 1.573500 -0.001201 -0.006376
-0.018687 0.902979 0.677788 1.573626 -0.002234 -0.005666
-0.026150 0.910216 0.669841 1.564988 0.000248 0.004979
-0.026381 0.905776 0.667075 1.563173 0.003830 0.003552
-0.019713 0.902788 0.663128 1.557263 0.001576 -0.005007
-0.020439 0.903391 0.676855 1.574339 0.001897 -0.003975
-0.013718 0.900529 0.669515 1.564442 0.000208 -0.012149
-0.021078 0.903539 0.678100 1.574677 -0.000585 -0.003261
-0.027778 0.910666 0.670444 1.566143 0.001368 0.007257
-0.014866 0.900670 0.668428 1.565118 0.004586 -0.011100
-0.021266 0.903140 0.663924 1.558532 0.002389 -0.002926
-0.015059 0.900667 0.669633 1.565512 0.002333 -0.010757
-0.025947 0.908631 0.685940 1.584086 -0.002002 0.004112
-0.018855 0.905843 0.678260 1.573915 -0.003441 -0.004317
-0.032826 0.915855 0.678462 1.575488 -0.000650 0.014604
-0.018806 0.910232 0.679431 1.576170 -0.001678 -0.002493
-0.025590 0.908180 0.671586 1.567662 0.000688 0.003829
-0.019095 0.905519 0.677315 1.574657 0.000664 -0.004319
-0.019076 0.905501 0.681283 1.578730 -0.001139 -0.004257
-0.025602 0.907922 0.673291 1.568128 -0.002680 0.003560
-0.025903 0.908086 0.687147 1.585298 -0.002403 0.004044
-0.025349 0.912227 0.674389 1.570353 -0.000882 0.005140
-0.032261 0.915122 0.679581 1.576621 -0.001009 0.013967
-0.032583 0.914981 0.680303 1.576821 -0.002414 0.013793
-0.024999 0.907530 0.672404 1.568456 0.000227 0.003094
-0.018421 0.909548 0.680588 1.577106 -0.002650 -0.003187
-0.032198 0.914841 0.680293 1.576825 -0.002377 0.013392
-0.032188 0.914782 0.680434 1.576949 -0.002443 0.013363
-0.032361 0.914898 0.680301 1.576827 -0.002393 0.013560
-0.032404 0.914925 0.680274 1.576837 -0.002298 0.013644
-0.032375 0.914909 0.680283 1.576852 -0.002286 0.013618
-0.032322 0.914895 0.680267 1.576843 -0.002267 0.013569
-0.032286 0.914884 0.680259 1.576847 -0.002236 0.013541
-0.032299 0.914894 0.680244 1.576841 -0.002211 0.013564
-0.032322 0.914911 0.680224 1.576834 -0.002176 0.013602
-0.032354 0.914928 0.680211 1.576832 -0.002145 0.013647
-0.032389 0.914948 0.680196 1.576829 -0.002114 0.013697
-0.032415 0.914964 0.680179 1.576824 -0.002082 0.013736
-0.032430 0.914975 0.680163 1.576820 -0.002049 0.013763
-0.032436 0.914983 0.680148 1.576816 -0.002019 0.013782
-0.032439 0.914990 0.680133 1.576812 -0.001988 0.013796
-0.030732 0.908998 0.674062 1.570629 0.000810 0.009537
-0.034533 0.915170 0.673769 1.568399 -0.003396 0.016117
-0.029712 0.912477 0.683573 1.580643 -0.002992 0.009833
-0.030286 0.911705 0.685069 1.582224 -0.003562 0.010229
-0.031767 0.911338 0.686217 1.583389 -0.004314 0.011479
-0.022673 0.909950 0.680300 1.577465 -0.000882 0.001872
-0.022542 0.908115 0.669364 1.563452 -0.002418 0.000769
-0.030422 0.910301 0.674324 1.570094 -0.001574 0.009844
-0.023825 0.910411 0.668410 1.563859 0.001793 0.003399
-0.025113 0.909596 0.669436 1.565061 0.001031 0.004233
-0.026073 0.908471 0.670716 1.566576 0.000302 0.004715
-0.026776 0.907583 0.670589 1.566704 0.002201 0.004855
-0.014868 0.902109 0.673442 1.569676 0.001108 -0.009764
-0.018238 0.907926 0.680418 1.576878 -0.002271 -0.003505
-0.018391 0.907900 0.680645 1.576999 -0.002573 -0.003450
-0.018573 0.908006 0.680559 1.576903 -0.002583 -0.003261
-0.018619 0.908025 0.680558 1.576923 -0.002532 -0.003191
-0.018597 0.908015 0.680559 1.576927 -0.002525 -0.003211
-0.018558 0.908007 0.680540 1.576918 -0.002497 -0.003242
-0.018521 0.907998 0.680521 1.576913 -0.002460 -0.003269
-0.018517 0.908003 0.680505 1.576909 -0.002426 -0.003260
