x y z alpha beta gamma
-0.227009 0.884851 0.620708 1.566231 -0.015129 0.169715
-0.227007 0.884855 0.620742 1.566218 -0.014902 0.169685
-0.227004 0.884858 0.620775 1.566205 -0.014674 0.169655
-0.227002 0.884861 0.620808 1.566192 -0.014446 0.169625
-0.227000 0.884865 0.620842 1.566180 -0.014219 0.169595
-0.226997 0.884868 0.620876 1.566167 -0.013992 0.169564
-0.226995 0.884871 0.620910 1.566154 -0.013763 0.169534
-0.226993 0.884875 0.620944 1.566142 -0.013535 0.169504
-0.226991 0.884878 0.620977 1.566129 -0.013307 0.169474
-0.226988 0.884882 0.621011 1.566117 -0.013079 0.169443
-0.226986 0.884885 0.621045 1.566105 -0.012851 0.169413
-0.226984 0.884889 0.621080 1.566092 -0.012623 0.169383
-0.210725 0.896754 0.626211 1.573752 -0.018858 0.148399
-0.210721 0.896757 0.626241 1.573735 -0.018630 0.148369
-0.210717 0.896761 0.626271 1.573718 -0.018402 0.148339
-0.210713 0.896764 0.626301 1.573700 -0.018173 0.148309
-0.219148 0.890107 0.638544 1.586075 -0.013326 0.159320
-0.219141 0.890111 0.638576 1.586060 -0.013097 0.159290
-0.219135 0.890116 0.638609 1.586046 -0.012868 0.159259
-0.210697 0.896777 0.626421 1.573633 -0.017259 0.148187
-0.218936 0.891795 0.604237 1.548702 -0.017375 0.158333
-0.206874 0.900360 0.620800 1.566799 -0.014584 0.142552
-0.192235 0.909598 0.628535 1.575285 -0.014966 0.124239
-0.191907 0.906002 0.620067 1.566033 -0.016720 0.125588
-0.195627 0.902432 0.615240 1.562411 -0.023229 0.130875
-0.194007 0.908696 0.625970 1.572873 -0.018241 0.126314
-0.204009 0.898286 0.610460 1.555688 -0.020547 0.141055
-0.216972 0.891832 0.621356 1.567451 -0.018180 0.156262
-0.194654 0.906723 0.630058 1.578213 -0.021810 0.127758
-0.196678 0.900627 0.627352 1.573625 -0.016343 0.132392
-0.208647 0.893503 0.638219 1.585808 -0.016117 0.147265
-0.208628 0.893535 0.638200 1.585716 -0.015845 0.147242
-0.208636 0.893564 0.638201 1.585673 -0.015511 0.147275
-0.208595 0.893569 0.638246 1.585655 -0.015229 0.147237
-0.208544 0.893575 0.638288 1.585627 -0.014961 0.147181
-0.208493 0.893580 0.638333 1.585605 -0.014688 0.147126
-0.208441 0.893585 0.638381 1.585585 -0.014416 0.147072
-0.208389 0.893591 0.638429 1.585566 -0.014143 0.147017
-0.208337 0.893597 0.638476 1.585548 -0.013870 0.146962
-0.206385 0.897169 0.647011 1.595211 -0.014801 0.143116
-0.210327 0.894148 0.634506 1.580253 -0.012896 0.148777
-0.195236 0.902102 0.646361 1.593436 -0.012645 0.129875
-0.195994 0.908998 0.620139 1.564466 -0.016111 0.128469
-0.205313 0.894882 0.630043 1.575784 -0.014810 0.143387
-0.185248 0.918596 0.618422 1.561757 -0.015778 0.113856
-0.212164 0.895388 0.627118 1.572780 -0.016134 0.150010
-0.201136 0.905285 0.623083 1.568342 -0.018276 0.134591
-0.207020 0.903637 0.612643 1.556631 -0.018154 0.141811
